"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"202992_at",-4.6536981023658,8.09416031585354,-6.75141456807764,3.60307920317228e-08,0.000460447165088872
"209621_s_at",-2.77676492485408,7.25151815086284,-6.70941856573458,4.13383458355139e-08,0.000460447165088872
"207864_at",-1.05313904995567,3.62333630409971,-6.38005616015853,1.2170483720267e-07,0.000750761453351507
"209613_s_at",-3.5211711694422,5.15458703709352,-6.33058138874489,1.43170190312269e-07,0.000750761453351507
"211276_at",-2.51759337095949,6.52072700181745,-6.25567827572882,1.83098100853891e-07,0.000750761453351507
"203498_at",-2.03165195959201,6.63314750327948,-6.22545552947281,2.02207151775779e-07,0.000750761453351507
"213800_at",-2.82156275661305,7.73377469066237,-6.13214121515598,2.74740482645264e-07,0.000761974677488468
"208131_s_at",-3.21169802517202,8.1693514544449,-6.07500805696398,3.31461024017524e-07,0.000761974677488468
"204223_at",-2.72452909872693,7.39950815272918,-6.06193301553437,3.46007422182709e-07,0.000761974677488468
"211726_s_at",-1.57063098339847,5.7201237479544,-6.04880285897387,3.61257225040978e-07,0.000761974677488468
"213438_at",-2.48054779960096,5.60833001646146,-6.01017024191672,4.10133652307941e-07,0.000761974677488468
"204939_s_at",-2.519348211793,6.5169632287045,-6.0099321090511,4.10454555364799e-07,0.000761974677488468
"204940_at",-2.44096962134288,4.14528224334585,-5.97047503639945,4.67243259159941e-07,0.000780117795449004
"201957_at",-1.81202544778648,8.02120217895585,-5.95066777884471,4.98644412410676e-07,0.000780117795449004
"208396_s_at",-1.5524708428081,5.87380331418977,-5.93481683274844,5.25284685179111e-07,0.000780117795449004
"210002_at",-3.4371350181241,6.14091075103824,-5.91193049549345,5.6627561931188e-07,0.000788432623213172
"209612_s_at",-3.27595665442025,5.82858199594575,-5.88627191057577,6.16039793685274e-07,0.000807265793172168
"201431_s_at",-1.87180227298078,8.60343619140372,-5.82801108132419,7.4584156765759e-07,0.000923061811261562
"219778_at",-2.1525251699911,7.35737021152572,-5.78146152987178,8.68890501137719e-07,0.000967813684692249
"206584_at",-1.6098201427981,7.1445373897314,-5.74322886731642,9.84947716027078e-07,0.00104484191761596
"205399_at",-1.63241828280325,6.41959195637126,-5.72538792485325,1.04427199189164e-06,0.00105525985860435
"203706_s_at",-2.49492331364786,6.97027833753233,-5.71244995132832,1.08950831565741e-06,0.00105525985860435
"218901_at",-2.02353721310765,7.24611419442874,-5.65035215530798,1.33532255167934e-06,0.00118987921935043
"218656_s_at",-1.45191063793076,8.8264623047873,-5.62954980793241,1.42945029362647e-06,0.00122476400735065
"220037_s_at",-1.81842771381617,4.54409554629327,-5.61561254846116,1.49618192685672e-06,0.00123446091794768
"207480_s_at",-1.32046449649972,8.073517474029,-5.58520930317965,1.65270943735621e-06,0.00127372092858834
